Time (s),Glucose (mM),ATP (mM),G6P (mM),ADP (mM),Hexokinase (firings)
1.020000,4998.980156,2998.980156,101.019844,101.019844,340
1.023000,4998.977157,2998.977157,101.022843,101.022843,341
1.026000,4998.974157,2998.974157,101.025843,101.025843,342
1.029000,4998.971158,2998.971158,101.028842,101.028842,343
1.032000,4998.968158,2998.968158,101.031842,101.031842,344
1.035000,4998.965159,2998.965159,101.034841,101.034841,345
1.038000,4998.962159,2998.962159,101.037841,101.037841,346
1.041000,4998.959160,2998.959160,101.040840,101.040840,347
1.044000,4998.956160,2998.956160,101.043840,101.043840,348
1.047000,4998.953161,2998.953161,101.046839,101.046839,349
1.050000,4998.950161,2998.950161,101.049839,101.049839,350
1.053000,4998.947161,2998.947161,101.052839,101.052839,351
1.056000,4998.944162,2998.944162,101.055838,101.055838,352
1.059000,4998.941162,2998.941162,101.058838,101.058838,353
1.062000,4998.938163,2998.938163,101.061837,101.061837,354
1.065000,4998.935163,2998.935163,101.064837,101.064837,355
1.068000,4998.932164,2998.932164,101.067836,101.067836,356
1.071000,4998.929164,2998.929164,101.070836,101.070836,357
1.074000,4998.926165,2998.926165,101.073835,101.073835,358
1.077000,4998.923165,2998.923165,101.076835,101.076835,359
1.080000,4998.920166,2998.920166,101.079834,101.079834,360
1.083000,4998.917166,2998.917166,101.082834,101.082834,361
1.086000,4998.914167,2998.914167,101.085833,101.085833,362
1.089000,4998.911167,2998.911167,101.088833,101.088833,363
1.092000,4998.908167,2998.908167,101.091833,101.091833,364
1.095000,4998.905168,2998.905168,101.094832,101.094832,365
1.098000,4998.902168,2998.902168,101.097832,101.097832,366
1.101000,4998.899169,2998.899169,101.100831,101.100831,367
1.104000,4998.896169,2998.896169,101.103831,101.103831,368
1.107000,4998.893170,2998.893170,101.106830,101.106830,369
1.110000,4998.890170,2998.890170,101.109830,101.109830,370
1.113000,4998.887171,2998.887171,101.112829,101.112829,371
1.116000,4998.884171,2998.884171,101.115829,101.115829,372
1.119000,4998.881172,2998.881172,101.118828,101.118828,373
1.122000,4998.878172,2998.878172,101.121828,101.121828,374
1.125000,4998.875173,2998.875173,101.124827,101.124827,375
1.128000,4998.872173,2998.872173,101.127827,101.127827,376
1.131000,4998.869173,2998.869173,101.130827,101.130827,377
1.134000,4998.866174,2998.866174,101.133826,101.133826,378
1.137000,4998.863174,2998.863174,101.136826,101.136826,379
1.140000,4998.860175,2998.860175,101.139825,101.139825,380
1.143000,4998.857175,2998.857175,101.142825,101.142825,381
1.146000,4998.854176,2998.854176,101.145824,101.145824,382
1.149000,4998.851176,2998.851176,101.148824,101.148824,383
1.152000,4998.848177,2998.848177,101.151823,101.151823,384
1.155000,4998.845177,2998.845177,101.154823,101.154823,385
1.158000,4998.842178,2998.842178,101.157822,101.157822,386
1.161000,4998.839178,2998.839178,101.160822,101.160822,387
1.164000,4998.836178,2998.836178,101.163822,101.163822,388
1.167000,4998.833179,2998.833179,101.166821,101.166821,389
1.170000,4998.830179,2998.830179,101.169821,101.169821,390
1.173000,4998.827180,2998.827180,101.172820,101.172820,391
1.176000,4998.824180,2998.824180,101.175820,101.175820,392
1.179000,4998.821181,2998.821181,101.178819,101.178819,393
1.182000,4998.818181,2998.818181,101.181819,101.181819,394
1.185000,4998.815182,2998.815182,101.184818,101.184818,395
1.188000,4998.812182,2998.812182,101.187818,101.187818,396
